,City,Cloudiness (%),Country,Date,Humidity (%),Latitude,Longitude,"Temperature, F","Wind Speed, mph"
438,sa kaeo,92,TH,1536089336,98,13.8,102.09,72.19,4.85
440,iraucuba,0,BR,1536089336,34,-3.75,-39.78,92.53,12.46
441,pozo colorado,0,PY,1536089337,69,-23.49,-58.8,73.81,6.42
444,veraval,90,FR,1536087600,93,49.65,0.71,61.99,9.17
445,kawalu,24,ID,1536089338,91,-7.38,108.21,54.55,1.72
446,chopda,88,IN,1536089339,97,21.25,75.3,73.54,6.08
447,kikwit,20,CD,1536089339,82,-5.04,18.82,79.66,2.73
449,moyale,80,ET,1536089340,60,3.52,39.05,73.18,7.2
451,hofn,100,IS,1536088806,99,64.25,-15.21,49.42,8.88
452,bar harbor,1,US,1536087360,36,44.39,-68.2,80.58,6.93
453,jurilovca,0,RO,1536087600,88,44.77,28.87,70.66,1.12
454,erenhot,24,CN,1536089341,61,43.65,111.97,56.44,4.97
455,abha,0,SA,1536084000,73,18.22,42.5,69.8,4.7
456,udachnyy,32,RU,1536089342,63,66.42,112.4,40.51,7.09
457,staryy nadym,32,RU,1536089342,71,65.61,72.68,57.97,9.22
458,murrhardt,0,DE,1536087000,77,48.98,9.58,67.26,2.24
459,barra da estiva,8,BR,1536089343,27,-13.63,-41.33,92.26,2.51
461,gusau,24,NG,1536089090,86,12.17,6.66,78.94,3.06
463,kharian,0,PK,1536084000,70,32.81,73.87,84.2,3.85
464,russkaya polyana,0,RU,1536089345,81,53.78,73.88,42.22,3.85
465,bucerias,75,MX,1536086520,84,20.76,-105.33,86.0,10.29
466,ketchikan,1,US,1536087360,66,55.34,-131.65,57.29,9.17
467,rawson,32,AR,1536088831,27,-43.3,-65.11,71.11,11.9
468,calama,0,CL,1536087600,4,-22.46,-68.93,73.4,24.16
469,marsa matruh,75,EG,1536084000,83,31.35,27.25,80.6,9.17
470,shakhovskaya,48,RU,1536089347,68,56.03,35.51,67.06,7.76
471,jacareacanga,40,BR,1536084000,52,-6.22,-57.76,89.6,4.7
473,oum hadjer,0,TD,1536089348,50,13.3,19.7,84.88,4.63
475,taoudenni,76,ML,1536089205,16,22.68,-3.98,105.67,2.28
476,channel-port aux basques,0,CA,1536089349,96,47.57,-59.14,64.09,24.54
477,innisfail,75,CA,1536084000,76,52.02,-113.95,48.2,5.82
478,handan,8,CN,1536089349,69,36.58,114.48,67.33,5.19
479,dhidhdhoo,8,MV,1536088821,97,6.88,73.1,84.07,9.33
481,bujaru,20,BR,1536087600,79,-1.52,-48.04,84.2,9.17
482,san vicente,75,SV,1536087000,58,13.64,-88.78,87.8,6.93
483,altamont,1,CA,1536088500,52,49.4,-98.5,67.32,12.75
484,aljezur,100,PT,1536088527,93,37.31,-8.8,69.94,8.43
485,bereda,75,ES,1536087600,93,43.27,-7.54,64.4,8.05
486,tromso,75,NO,1536087000,87,69.65,18.96,48.2,3.36
487,troitsko-pechorsk,0,RU,1536089353,86,62.71,56.19,50.86,3.51
488,kruisfontein,24,ZA,1536089063,94,-34.0,24.73,61.66,10.45
489,lokoja,44,NG,1536089354,95,7.8,6.74,76.6,2.84
490,muyezerskiy,0,RU,1536089354,84,63.93,31.65,58.24,4.41
492,esperance,20,TT,1536087600,70,10.24,-61.45,87.8,9.17
493,palana,0,RU,1536089355,95,59.08,159.95,35.56,2.95
494,seydi,0,NE,1536089356,75,13.34,7.75,83.26,3.06
496,road town,20,VG,1536087600,66,18.42,-64.62,87.4,5.82
497,yerofey pavlovich,92,RU,1536088816,94,53.97,121.97,44.2,8.21
498,esmeraldas,0,BR,1536087600,27,-19.76,-44.31,79.41,14.99
499,carhuaz,0,PE,1536089301,26,-9.28,-77.65,61.48,2.73
500,sur,0,OM,1536089358,85,22.57,59.53,84.16,2.39
501,dunmore town,56,BS,1536089358,96,25.5,-76.65,85.06,16.82
502,villa carlos paz,0,AR,1536087600,27,-31.42,-64.5,78.8,26.4
503,chillicothe,40,US,1536088500,46,39.33,-82.98,90.81,4.7
504,mashhad,0,IR,1536085800,16,36.3,59.61,62.6,6.93
506,madiun,8,ID,1536089359,96,-7.63,111.52,65.26,3.18
507,aras,36,YE,1536089359,42,14.28,44.38,63.1,1.16
508,sioux lookout,90,CA,1536087360,93,50.1,-91.92,66.2,6.93
509,benito juarez,0,MX,1536089360,52,28.64,-111.57,93.7,4.97
511,kaeo,0,NZ,1536088816,89,-35.1,173.78,41.68,7.65
512,umea,75,SE,1536087000,87,63.83,20.26,57.2,4.7
513,ankang,92,CN,1536089361,55,32.73,108.99,73.36,1.95
514,pilar,0,AR,1536087600,43,-34.46,-58.91,67.98,8.05
515,greece,40,US,1536088500,59,43.21,-77.69,83.28,5.82
516,verkhnyaya inta,92,RU,1536089362,72,65.99,60.32,60.76,7.31
517,oranjemund,0,ZA,1536089362,98,-28.55,16.43,56.26,12.01
519,puerto narino,40,CO,1536087600,62,-3.77,-70.38,86.0,5.82
520,carandai,0,BR,1536084000,40,-20.95,-43.81,69.8,11.41
521,kaili,64,ID,1536089364,88,-3.46,120.21,69.76,2.06
523,narang,20,PK,1536084000,70,32.43,73.82,84.2,2.95
525,denpasar,20,ID,1536087600,83,-8.65,115.22,77.0,3.36
526,amambai,0,BR,1536089365,66,-23.11,-55.23,69.94,8.21
527,villa sandino,40,NI,1536084000,74,12.05,-84.99,86.0,4.7
528,caravelas,0,BR,1536088876,96,-17.73,-39.27,77.5,23.98
529,springfield,75,US,1536087120,59,37.22,-93.29,84.92,16.11
530,podor,75,MR,1536084000,52,16.65,-14.96,93.2,4.7
531,virginia beach,1,US,1536088200,66,36.85,-75.98,88.41,7.09
532,mao,20,DO,1536087600,49,19.55,-71.08,91.4,14.99
533,rio grande,40,BR,1536087600,56,-32.03,-52.1,68.0,8.05
534,neuquen,0,AR,1536087600,23,-38.95,-68.06,77.0,5.82
535,iqaluit,20,CA,1536084000,78,63.75,-68.52,55.4,9.17
536,mehamn,20,NO,1536087000,87,71.03,27.85,46.78,1.12
537,cleburne,75,US,1536087180,55,32.35,-97.39,86.34,6.93
538,grand gaube,40,MU,1536087600,78,-20.01,57.66,71.6,11.41
540,san carlos,88,VE,1536089370,77,9.66,-68.59,84.07,5.64
541,rjukan,92,NO,1536089370,66,59.88,8.59,56.8,3.62
542,czestochowa,40,PL,1536087600,72,50.8,19.12,66.2,4.7
543,ambilobe,0,MG,1536089371,57,-13.19,49.05,74.44,18.16
544,belyy yar,40,RU,1536085800,93,53.6,91.39,48.2,4.47
546,mayo,75,CA,1536084000,62,63.59,-135.9,53.6,8.05
547,northam,40,GB,1536087000,77,51.04,-4.21,61.7,6.93
548,jiazi,0,CN,1536084000,94,19.61,110.49,77.0,4.47
549,oxford,40,US,1536087360,59,33.61,-85.83,85.39,11.41
550,beyla,92,GN,1536089373,91,8.69,-8.65,72.1,9.66
551,skjervoy,75,NO,1536087000,93,70.03,20.97,48.2,4.7
552,hami,0,CN,1536089039,47,42.84,93.51,53.11,3.51
553,saquisili,40,EC,1536087600,62,-0.83,-78.67,59.0,20.8
554,sisimiut,44,GL,1536088960,91,66.94,-53.67,38.8,2.62
555,tautira,20,PF,1536087600,57,-17.73,-149.15,80.6,4.7
556,apache junction,40,US,1536087360,31,33.41,-111.55,92.7,6.93
557,barmer,0,IN,1536089375,51,25.74,71.4,84.16,8.32
558,trinidad,0,UY,1536087600,59,-33.52,-56.9,66.2,9.17
559,leningradskiy,20,RU,1536089376,91,69.38,178.42,41.68,13.8
